"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Mar-2023","EQ","955.00","982.05","954.05","935.30","982.05","982.05","978.41","4,000.00","650.00",1440643,"1,409,535,070.90",25998
"22-Mar-2023","EQ","906.70","935.30","905.00","890.80","935.30","935.30","930.89","4,000.00","650.00",1938364,"1,804,398,957.60",42201
"21-Mar-2023","EQ","853.00","895.50","816.75","852.90","893.90","890.80","872.59","4,000.00","650.00",2290508,"1,998,671,414.15",70169
"20-Mar-2023","EQ","879.00","879.00","852.90","897.75","852.90","852.90","860.78","4,000.00","650.00",1126835,"969,962,428.80",32981
"17-Mar-2023","EQ","911.80","925.00","890.00","888.40","896.95","897.75","903.30","4,000.00","650.00",1412300,"1,275,733,471.15",47712
"16-Mar-2023","EQ","899.00","936.00","880.00","919.85","886.00","888.40","900.77","4,000.00","650.00",2559661,"2,305,669,942.50",83110
"15-Mar-2023","EQ","899.85","989.00","899.85","947.20","899.85","919.85","931.33","4,000.00","650.00",6326072,"5,891,633,585.35",131306
"14-Mar-2023","EQ","947.20","995.00","947.20","997.05","947.20","947.20","950.97","4,000.00","650.00",873555,"830,723,115.85",15628
"13-Mar-2023","EQ","997.05","997.05","997.05","949.60","997.05","997.05","997.05","4,000.00","650.00",467738,"466,358,172.90",9974
"10-Mar-2023","EQ","910.00","949.60","865.55","904.40","949.60","949.60","937.48","4,000.00","650.00",2504584,"2,348,003,893.95",51157
"09-Mar-2023","EQ","904.40","904.40","883.20","861.35","904.40","904.40","902.30","4,000.00","650.00",1261116,"1,137,908,740.65",21513
"08-Mar-2023","EQ","848.00","861.35","836.80","820.35","861.35","861.35","856.31","4,000.00","650.00",1438542,"1,231,840,018.90",24528
"06-Mar-2023","EQ","802.80","820.35","796.95","781.30","820.35","820.35","817.33","4,000.00","650.00",3148255,"2,573,164,944.95",56160
